Elapsed time,Book Pickup E0009,Bulk Upload Step 1- Create Draft,Bulk Upload Step 1- Update Data,Bulk Upload Step 1- Upload File,Bulk Upload Step 3 - Confirm ,Confirm delivery,Create Delivery As E0009,Create Delivery As Lazada,Create delivery - step 1,Delivery failed,Get available drivers,Get merchant id,Get orders of page 1,Get orders of page 10,Get orders of page 11,Get orders of page 12,Get orders of page 13,Get orders of page 14,Get orders of page 15,Get orders of page 16,Get orders of page 17,Get orders of page 18,Get orders of page 19,Get orders of page 2,Get orders of page 20,Get orders of page 3,Get orders of page 4,Get orders of page 5,Get orders of page 6,Get orders of page 7,Get orders of page 8,Get orders of page 9,Get pickup task today,Get service type id,Get total pages of all orders,Get total pages of arrived at hub tab,Get total pages of delivery failed tab,Get total pages of today pending pickup,Get total pages of today unassigned pickup,Get user id,Login,Login API Gateway _ E0009,Login API Gateway _ Lazada,POD ,Print invoice of Dex. The biggest one.,Print sticker ,Scan enroute to hub,Scan out for delivery ,Update delivery - before confirm,View delivery,View invoice details of DEX - summary view - the biggest one,View invoice details of DEx - the biggest one
20:31:00.0,770.5,759.0,1033.0,869.0,,1091.0,715.25,857.5,736.25,88.0,283.0,356.2857142857143,890.0,,,,,,,,,,,1335.0,,727.0,1009.0,823.0,1284.0,933.0,719.0,,78.0,415.6666666666667,967.0,658.0,643.0,196.0,421.0,564.5,1084.4117647058824,1109.2,1036.8333333333333,92.0,202.66666666666666,480.3333333333333,92.0,123.0,492.0,408.75,401.14285714285717,413.0
20:32:00.0,,,,,66495.0,,64212.0,,62106.0,,,63860.0,,,,,,,,,,,,,,,,,,,,61662.0,,65491.0,,,,,,,62439.857142857145,,65813.0,,,64935.0,,,,,,62782.0
20:33:00.0,69532.0,,,,,,,,,,,,,61417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,64504.782608695656,,70080.0,,69846.0,,,,,,,
20:34:00.0,,,,,,,,,,,,,,,62303.0,,,,,,,,,,,,,,,,,,,,,,,,,,68737.65517241378,75710.0,75867.0,,,,,,,,,
20:35:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85609.0,,,,,,,,,,,
20:36:00.0,20149.0,,,,,,77034.0,,,,,,,,,97957.0,,,,,,,,,,,,,,,,,,,,,,,,,88400.03225806452,,75046.0,,1892.0,,,,,,79765.0,21397.0
20:37:00.0,,,,,,,,,,,,,,,,,70291.0,,,,,,,,,,,,,,,,,,,,,,,,91804.31428571427,73660.0,88527.0,,,,,,,,,
20:38:00.0,1846.0,,,,,,54018.0,,,,,,,,,,,81705.0,,,,,,,,,,,,,,,,,,,,,,,77383.55737704915,,75722.0,,1962.0,,,,,,52114.0,2010.0
20:39:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97249.61538461539,,,,,,,,,,,
20:40:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118737.52380952382,,,,,,,,,,,
20:41:00.0,,,,,,,,,,,,,,,,,,,156916.0,,,,,,,,,,,,,,,,,,,,,,176831.1052631579,195672.0,,,,,,,,,,
20:42:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182131.97674418602,,215246.0,,,,,,,,,
20:43:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193720.41176470587,,,,,,,,,,,
20:44:00.0,,,,,,,,,,,,,,,,,,,,192771.0,,,,,,,,,,,,,,,,,,,,,189691.77777777778,,,,,,,,,,,
20:45:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248440.4090909091,,,,,,,,,,,
20:46:00.0,,,,,,,285088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272904.04761904763,,,,,,,,,,285883.0,
20:47:00.0,38381.0,,,,,,,,,,,,,,,,,,,,172024.0,,,,,,,,,,,,,,,,,,,,170909.28,,285847.0,,1168.0,,,,,,,36287.0
20:48:00.0,,,,,,,,,,,,,,,,,,,,,,64170.0,,,,,,,,,,,,,,,,,,,81107.2972972973,,,,,,,,,,,
20:49:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106077.06896551725,106664.0,108248.0,,,,,,,,,
20:50:00.0,,,,,,,,,,,,,,,,,,,,,,,107698.0,,,,,,,,,,,,,,,,,,110040.97142857143,,,,,,,,,,,
20:51:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124365.59090909091,,,,,,,,,,,
20:52:00.0,,,,,,,184232.0,,,,,,,,,,,,,,,,,,133427.0,,,,,,,,,,,,,,,,135738.21875,,189965.0,,,,,,,,180882.0,
