Elapsed time,Book Pickup E0009,Bulk Upload Step 1- Create Draft,Bulk Upload Step 1- Update Data,Bulk Upload Step 1- Upload File,Bulk Upload Step 3 - Confirm ,Confirm delivery,Create Delivery As E0009,Create Delivery As Lazada,Create delivery - step 1,Delivery failed,Get available drivers,Get merchant id,Get orders of page 1,Get orders of page 10,Get orders of page 11,Get orders of page 12,Get orders of page 13,Get orders of page 14,Get orders of page 15,Get orders of page 16,Get orders of page 17,Get orders of page 18,Get orders of page 19,Get orders of page 2,Get orders of page 20,Get orders of page 3,Get orders of page 4,Get orders of page 5,Get orders of page 6,Get orders of page 7,Get orders of page 8,Get orders of page 9,Get pickup task today,Get service type id,Get total pages of all orders,Get total pages of arrived at hub tab,Get total pages of delivery failed tab,Get total pages of today pending pickup,Get total pages of today unassigned pickup,Get user id,Login,Login API Gateway _ E0009,Login API Gateway _ Lazada,POD ,Print invoice of Dex. The biggest one.,Print sticker ,Scan enroute to hub,Scan out for delivery ,Update delivery - before confirm,View delivery,View invoice details of DEX - summary view - the biggest one,View invoice details of DEx - the biggest one
20:31:00.0,772.25,759.0,1033.0,869.0,,1091.0,715.25,857.6666666666666,736.25,93.0,498.0,359.14285714285717,990.0,,,,,,,,,,,1437.0,,823.0,1123.0,919.0,1387.0,1029.0,818.0,,82.0,423.3333333333333,1086.0,852.0,817.0,202.0,428.0,564.5,1087.235294117647,1113.0,1039.8333333333333,92.0,202.66666666666666,480.3333333333333,100.0,125.0,493.5,413.25,403.14285714285717,714.6666666666666
20:32:00.0,,,,,66495.0,,64212.0,,62106.0,,,63860.0,,,,,,,,,,,,,,,,,,,,61662.0,,65492.0,,,,,,,62439.857142857145,,65813.0,,,64935.0,,,,,,62782.0
20:33:00.0,69533.0,,,,,,,,,,,,,61417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,64504.86956521739,,70080.0,,69846.0,,,,,,,
20:34:00.0,,,,,,,,,,,,,,,62303.0,,,,,,,,,,,,,,,,,,,,,,,,,,68737.65517241378,75710.0,75868.0,,,,,,,,,
20:35:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85609.0,,,,,,,,,,,
20:36:00.0,20149.0,,,,,,77034.0,,,,,,,,,97957.0,,,,,,,,,,,,,,,,,,,,,,,,,88400.06451612903,,75046.0,,1892.0,,,,,,79765.0,21397.0
20:37:00.0,,,,,,,,,,,,,,,,,70291.0,,,,,,,,,,,,,,,,,,,,,,,,91804.40000000001,73660.0,88527.0,,,,,,,,,
20:38:00.0,1846.0,,,,,,54018.0,,,,,,,,,,,81705.0,,,,,,,,,,,,,,,,,,,,,,,77383.55737704915,,75722.0,,1962.0,,,,,,52114.0,2010.0
20:39:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97249.61538461539,,,,,,,,,,,
20:40:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118737.52380952382,,,,,,,,,,,
20:41:00.0,,,,,,,,,,,,,,,,,,,156916.0,,,,,,,,,,,,,,,,,,,,,,176831.15789473685,195672.0,,,,,,,,,,
20:42:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186893.02325581395,,215246.0,,,,,,,,,
20:43:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193720.41176470587,,,,,,,,,,,
20:44:00.0,,,,,,,,,,,,,,,,,,,,192772.0,,,,,,,,,,,,,,,,,,,,,189691.77777777778,,,,,,,,,,,
20:45:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248440.4090909091,,,,,,,,,,,
20:46:00.0,,,,,,,285088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272904.04761904763,,,,,,,,,,285883.0,
20:47:00.0,38382.0,,,,,,,,,,,,,,,,,,,,172024.0,,,,,,,,,,,,,,,,,,,,170909.31999999995,,285847.0,,1168.0,,,,,,,36287.0
20:48:00.0,,,,,,,,,,,,,,,,,,,,,,64170.0,,,,,,,,,,,,,,,,,,,81107.2972972973,,,,,,,,,,,
20:49:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106077.10344827586,106664.0,108248.0,,,,,,,,,
20:50:00.0,,,,,,,,,,,,,,,,,,,,,,,107698.0,,,,,,,,,,,,,,,,,,110041.0142857143,,,,,,,,,,,
20:51:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124365.59090909091,,,,,,,,,,,
20:52:00.0,,,,,,,184232.0,,,,,,,,,,,,,,,,,,133427.0,,,,,,,,,,,,,,,,135738.21875,,189965.0,,,,,,,,180882.0,
