Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Login,780,123445,427,289401,236942,65813.09,97.82%,.6,0.24,400.6
Get pickup task today,1,82,82,82,82,0.00,0.00%,12.2,20.25,1700.0
Scan enroute to hub,1,100,100,100,100,0.00,0.00%,10.0,16.60,1700.0
Scan out for delivery ,1,125,125,125,125,0.00,0.00%,8.0,13.28,1700.0
POD ,1,92,92,92,92,0.00,0.00%,10.9,18.05,1700.0
Delivery failed,1,93,93,93,93,0.00,0.00%,10.8,17.85,1700.0
View invoice details of DEX - summary view - the biggest one,11,54678,152,285883,180882,90774.42,36.36%,.0,0.01,1122.4
Login API Gateway _ E0009,9,50807,545,195672,106664,64632.58,44.44%,.0,0.01,1798.6
Login API Gateway _ Lazada,16,78537,792,285847,189965,83427.12,62.50%,.0,0.01,1042.1
Get merchant id,8,8296,188,63860,700,21001.48,12.50%,.1,0.54,5375.4
View invoice details of DEx - the biggest one,10,12676,495,62782,36287,20289.41,40.00%,.0,0.82,82072.2
Print invoice of Dex. The biggest one.,10,7608,86,69846,1962,20757.56,40.00%,.0,0.00,330.0
Create Delivery As E0009,9,74160,498,285088,184232,93509.46,55.56%,.0,0.00,374.6
Get available drivers,1,498,498,498,498,0.00,0.00%,2.0,132.33,67484.0
Create Delivery As Lazada,6,857,400,1694,1280,468.26,0.00%,.4,0.19,432.8
Get service type id,7,9718,241,65492,715,22769.76,14.29%,.1,0.45,5248.7
Get total pages of today unassigned pickup,1,428,428,428,428,0.00,0.00%,2.3,22.41,9821.0
Get user id,6,564,144,1419,734,432.98,0.00%,.5,0.49,1065.0
Book Pickup E0009,8,16624,509,69533,38382,23740.67,50.00%,.0,0.07,8493.6
Create delivery - step 1,5,13010,453,62106,1063,24548.67,20.00%,.1,0.06,917.2
Get total pages of all orders,1,1086,1086,1086,1086,0.00,0.00%,.9,22.14,24619.0
Bulk Upload Step 1- Create Draft,1,759,759,759,759,0.00,0.00%,1.3,1.03,799.0
Get total pages of today pending pickup,1,202,202,202,202,0.00,0.00%,5.0,44.88,9284.0
Update delivery - before confirm,4,493,278,648,648,134.35,0.00%,.4,10.64,26053.5
Get total pages of arrived at hub tab,1,852,852,852,852,0.00,0.00%,1.2,55.23,48189.0
Bulk Upload Step 1- Update Data,1,1033,1033,1033,1033,0.00,0.00%,1.0,0.31,328.0
Confirm delivery,4,1091,895,1513,1513,249.50,0.00%,.4,0.12,328.0
Get total pages of delivery failed tab,1,817,817,817,817,0.00,0.00%,1.2,52.86,44223.0
View delivery,4,413,328,591,591,106.44,0.00%,.4,1.03,2717.8
Bulk Upload Step 1- Upload File,1,869,869,869,869,0.00,0.00%,1.2,0.37,328.0
Print sticker ,4,16594,207,64935,64935,27910.68,25.00%,.1,0.02,336.8
Get orders of page 1,1,990,990,990,990,0.00,0.00%,1.0,24.28,24619.0
Get orders of page 2,1,1437,1437,1437,1437,0.00,0.00%,.7,16.81,24730.0
Get orders of page 3,1,823,823,823,823,0.00,0.00%,1.2,28.78,24255.0
Get orders of page 4,1,1123,1123,1123,1123,0.00,0.00%,.9,21.31,24511.0
Get orders of page 5,1,919,919,919,919,0.00,0.00%,1.1,26.08,24539.0
Get orders of page 6,1,1387,1387,1387,1387,0.00,0.00%,.7,16.84,23916.0
Get orders of page 7,1,1029,1029,1029,1029,0.00,0.00%,1.0,22.57,23777.0
Get orders of page 8,1,818,818,818,818,0.00,0.00%,1.2,28.53,23900.0
Get orders of page 9,1,61662,61662,61662,61662,0.00,100.00%,.0,0.01,363.0
Bulk Upload Step 3 - Confirm ,1,66495,66495,66495,66495,0.00,100.00%,.0,0.01,363.0
Get orders of page 10,1,61417,61417,61417,61417,0.00,100.00%,.0,0.01,363.0
Get orders of page 11,1,62303,62303,62303,62303,0.00,100.00%,.0,0.01,363.0
Get orders of page 12,1,97957,97957,97957,97957,0.00,100.00%,.0,0.00,363.0
Get orders of page 13,1,70291,70291,70291,70291,0.00,100.00%,.0,0.01,363.0
Get orders of page 14,1,81705,81705,81705,81705,0.00,100.00%,.0,0.00,363.0
Get orders of page 15,1,156916,156916,156916,156916,0.00,100.00%,.0,0.00,363.0
Get orders of page 16,1,192772,192772,192772,192772,0.00,100.00%,.0,0.00,363.0
Get orders of page 17,1,172024,172024,172024,172024,0.00,100.00%,.0,0.00,363.0
Get orders of page 18,1,64170,64170,64170,64170,0.00,100.00%,.0,0.01,363.0
Get orders of page 19,1,107698,107698,107698,107698,0.00,100.00%,.0,0.00,363.0
Get orders of page 20,1,133427,133427,133427,133427,0.00,100.00%,.0,0.00,363.0
TOTAL,936,108154,82,289401,211631,73338.38,87.07%,.7,1.43,2004.9
