Number of active threads,Average Book Pickup E0009,Average Bulk Upload Step 1- Create Draft,Average Bulk Upload Step 1- Update Data,Average Bulk Upload Step 1- Upload File,Average Bulk Upload Step 3 - Confirm ,Average Confirm delivery,Average Create Delivery As E0009,Average Create Delivery As Lazada,Average Create delivery - step 1,Average Delivery failed,Average Get available drivers,Average Get merchant id,Average Get orders of page 1,Average Get orders of page 10,Average Get orders of page 11,Average Get orders of page 12,Average Get orders of page 13,Average Get orders of page 14,Average Get orders of page 15,Average Get orders of page 16,Average Get orders of page 17,Average Get orders of page 18,Average Get orders of page 19,Average Get orders of page 2,Average Get orders of page 20,Average Get orders of page 3,Average Get orders of page 4,Average Get orders of page 5,Average Get orders of page 6,Average Get orders of page 7,Average Get orders of page 8,Average Get orders of page 9,Average Get pickup task today,Average Get service type id,Average Get total pages of all orders,Average Get total pages of arrived at hub tab,Average Get total pages of delivery failed tab,Average Get total pages of today pending pickup,Average Get total pages of today unassigned pickup,Average Get user id,Average Login,Average Login API Gateway _ E0009,Average Login API Gateway _ Lazada,Average POD ,Average Print invoice of Dex. The biggest one.,Average Print sticker ,Average Scan enroute to hub,Average Scan out for delivery ,Average Update delivery - before confirm,Average View delivery,Average View invoice details of DEX - summary view - the biggest one,Average View invoice details of DEx - the biggest one,Book Pickup E0009,Bulk Upload Step 1- Create Draft,Bulk Upload Step 1- Update Data,Bulk Upload Step 1- Upload File,Bulk Upload Step 3 - Confirm ,Confirm delivery,Create Delivery As E0009,Create Delivery As Lazada,Create delivery - step 1,Delivery failed,Get available drivers,Get merchant id,Get orders of page 1,Get orders of page 10,Get orders of page 11,Get orders of page 12,Get orders of page 13,Get orders of page 14,Get orders of page 15,Get orders of page 16,Get orders of page 17,Get orders of page 18,Get orders of page 19,Get orders of page 2,Get orders of page 20,Get orders of page 3,Get orders of page 4,Get orders of page 5,Get orders of page 6,Get orders of page 7,Get orders of page 8,Get orders of page 9,Get pickup task today,Get service type id,Get total pages of all orders,Get total pages of arrived at hub tab,Get total pages of delivery failed tab,Get total pages of today pending pickup,Get total pages of today unassigned pickup,Get user id,Login,Login API Gateway _ E0009,Login API Gateway _ Lazada,POD ,Print invoice of Dex. The biggest one.,Print sticker ,Scan enroute to hub,Scan out for delivery ,Update delivery - before confirm,View delivery,View invoice details of DEX - summary view - the biggest one,View invoice details of DEx - the biggest one
1,,,,,,,,,,10.75268817204301,,,,,,,,,,,,,,,,,,,,,,,12.195121951219512,,,,,,,,,,,10.869565217391305,,,10.0,8.0,,,,,,,,,,,,,,10.75268817204301,,,,,,,,,,,,,,,,,,,,,,,12.195121951219512,,,,,,,,1.644736842105263,,,10.869565217391305,,,10.0,8.0,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5673940949935816,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8137847642079807,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.314814814814815,,,,,,,,,,4.395604395604396,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.765486725663717,3.417634996582365,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.067796610169491,,,,,,,,,
7,,,,,,,,,,,14.056224899598394,,,,,,,,,,,,,,,,,,,,,,,,6.445672191528545,,,,16.35514018691589,,,,,,,,,,,,,,13.7524557956778,,,,,,14.056224899598394,13.83399209486166,,,14.056224899598394,36.658258389997805,,,,,,,,,,,,,,,,,,,,,,27.25009430403621,6.445672191528545,,,,16.35514018691589,27.283322737868193,16.39344262295082,,7.82122905027933,,57.377049180327866,,,,,,42.16867469879518,10.023962887320256
8,,10.540184453227932,7.744433688286544,9.205983889528193,,,,,,,,,8.080808080808081,,,,,,,,,,,5.567153792623521,,,,,,,,,,,,9.389671361502348,9.791921664626683,39.603960396039604,,25.048080947501763,,,,,,,,,,,,,10.7095046854083,10.540184453227932,7.744433688286544,9.205983889528193,,8.938547486033519,6.932409012131716,15.91715976331361,11.19708515347999,,,16.613468275593615,8.080808080808081,,,,,,,,,,,5.567153792623521,,,,,,,,,,16.03206412825651,,9.389671361502348,9.791921664626683,39.603960396039604,,13.91304347826087,8.866856750968616,10.306808591729508,8.621933621933621,,80.125073285128,20.887728459530027,,,28.776978417266186,13.536379018612521,14.607812003810734,14.187678309815716
9,,,,,,8.505016934567946,,12.309497771832335,,,,,,,,,,,,,,,,,,10.935601458080194,8.014247551202137,9.793253536452665,6.488824801730353,8.746355685131196,11.00244498777506,,,,,,,,,,,,,,,,,,19.254753539825483,23.23037779832189,,,10.73441989755549,,,,,9.236067462536845,14.892015438097062,11.142743644067796,14.167076809978008,,,23.00244498777506,,,,,,,,,,,,,,10.935601458080194,8.014247551202137,9.793253536452665,6.488824801730353,8.746355685131196,11.00244498777506,,,19.195804195804197,,,,,,37.380790190735695,10.697192476211281,9.825327510917031,9.20140594013888,,49.93577055552026,27.027027027027028,,,16.08067858067858,27.192566087337518,48.433715040739926,11.896832791922964
10,,,,,,,,,10.190748996248493,,,23.561961846885083,,,,,,,,,,,,,,,,,,,,0.16217443482209465,,18.3529790364417,,,,,,,,,,,,,,,,,,,,,,,,6.609385327164573,,5.903187721369539,,,,35.587188612099645,,,,,,,,,,,,,,,,,,,,0.16217443482209465,,,,,,,,7.047216349541931,7.345275413372408,7.733952049497293,,,,,,,,25.0,43.85964912280702,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.82399571694611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
