Number of active threads,Average Bulk Upload Step 1- Create Draft,Average Bulk Upload Step 1- Update Data,Average Bulk Upload Step 1- Upload File,Average Confirm delivery,Average Create delivery - step 1,Average Login,Average Update delivery - before confirm,Average View delivery,Bulk Upload Step 1- Create Draft,Bulk Upload Step 1- Update Data,Bulk Upload Step 1- Upload File,Confirm delivery,Create delivery - step 1,Login,Update delivery - before confirm,View delivery
1,,,,,,,,,,,,,,1.8552875695732838,,
2,,,,,,,,,,,,,,1.4892032762472078,,
3,,,,,,,,,,,,,,1.7321016166281755,,
4,,,,,,,,,,,,,,2.2246941045606228,,
5,,,,,,,,,21.367521367521366,,,,23.25581395348837,9.508854498268311,,
6,,,,,,,,,,14.925373134328359,6.018054162487462,8.875739644970414,20.905923344947734,11.432855008262303,19.321012687561556,9.803921568627452
7,,,,,,,,,,,,12.82261464237201,11.157653279877186,10.071935647379537,18.481456354590684,11.080739606871248
8,,,,,,,,,,,,18.512573568753346,9.88875154511743,9.046966380752771,19.784979305219185,43.51395730706076
10,,,,,,,,,14.947683109118087,,,6.22466531488805,10.312673504701532,6.155412482019118,14.837611804927231,18.958819329670742
11,,,,,,,,,,11.328527291452112,7.7958894401133945,9.369896217804971,11.982365815954065,27.284454049883223,12.051551550668377,32.33024570586044
12,,,,,,,,,,,,9.779756964912922,11.786782497788934,6.601036798474991,10.536105701635652,24.87581825988879
13,,,,,,,,,,,,9.582323077831557,9.145141977420458,93.28970464847635,23.022295067579577,23.595505992383693
14,,,,,,,,,12.658227848101266,,,30.06558661151534,12.608818038621335,6.892782242261649,16.089228676385222,25.414598164789346
15,,,,,,,,,,8.561643835616438,19.132653061224488,15.715247212872022,17.343067357318024,8.171917463271456,17.76648510736249,28.589993502274204
16,,,,,,,,,,,,8.016952353009877,12.126335466210609,9.231153038152655,14.779880872478655,19.70178968592323
17,,,,,,,,,,,,7.735494479680526,9.9552344600964,15.811824731121124,15.002965854093752,20.71828649929325
18,,,,,,,,,,,,9.245176766851563,8.575579742048548,94.32522565636445,15.111432912197339,19.071249909238176
19,,,,,,,,,10.913268236645607,14.41578148710167,,6.938721314702448,7.286908134448501,7.523422452629522,12.655243245669437,12.632341828934742
20,,,,,,,,,,,12.88659793814433,7.738260097083103,8.435743122064633,9.1739069009475,14.005602240896359,14.034181948654506
21,,,,,,,,,,,,13.504745866677753,8.691168802000751,7.3871101336525555,24.649995769626315,50.72463768115942
22,,,,,,,,,,,,8.04462543848595,9.188590374888578,10.983735572514396,13.385301199075068,14.670957280282565
23,,,,,,,,,,,,8.874444642973826,10.28302139893137,11.273991830102817,14.473747513418092,14.467291341315287
24,,,,,,,,,,,,8.291638879391225,8.491389980962234,162.0526374297817,18.13620375493877,18.808203237867748
25,,,,,,,,,6.915629322268327,18.248175182481752,,7.742542113052041,8.678246765499914,8.598400900851553,16.657867577137466,16.283586109599558
26,,,,,,,,,,,11.012282930961456,8.17376147694466,9.756722754983626,8.726699293510405,16.63766011012754,13.69483972920948
27,10.80252847095254,,,,,,,,,,,9.376086420218037,11.78698422701905,10.121371293597775,12.328095877889762,18.487331361392116
