Number of active threads,Average Bulk Upload Step 1- Create Draft,Average Bulk Upload Step 1- Update Data,Average Bulk Upload Step 1- Upload File,Average Confirm delivery,Average Create delivery - step 1,Average Login,Average Update delivery - before confirm,Average View delivery,Bulk Upload Step 1- Create Draft,Bulk Upload Step 1- Update Data,Bulk Upload Step 1- Upload File,Confirm delivery,Create delivery - step 1,Login,Update delivery - before confirm,View delivery
1,,,,,,,,,,,,,,539.0,,
2,,,,,,,,,,,,,,1343.0,,
3,,,,,,,,,,,,,,1732.0,,
4,,,,,,,,,,,,,,1798.0,,
5,,,,,,,,,234.0,,,,215.0,739.4523809523811,,
6,,,,,,,,,,402.0,997.0,676.0,287.0,614.75,333.5,612.0
7,,,,,,,,,,,,547.5,669.0,756.6,467.0,651.5
8,,,,,,,,,,,,432.5,809.0,913.75,579.0,185.5
10,,,,,,,,,669.0,,,3038.3333333333335,2292.5,3120.375,674.0,541.0
11,,,,,,,,,,971.0,1411.0,1184.0,996.4,822.3846153846154,929.6,497.0
12,,,,,,,,,,,,1395.3333333333333,1120.0,1832.2857142857142,1206.5,491.3333333333333
13,,,,,,,,,,,,1546.2,1480.5,629.9230769230769,736.0,853.0
14,,,,,,,,,1106.0,,,1516.6666666666667,1196.3333333333333,2107.777777777778,1033.5,689.6
15,,,,,,,,,,1752.0,784.0,1090.0,1001.0,1891.0,1061.5714285714287,528.0
16,,,,,,,,,,,,2040.75,1334.75,1767.6666666666667,1206.75,874.2
17,,,,,,,,,,,,2197.6666666666665,1718.25,1851.7272727272727,1242.3333333333333,933.0
18,,,,,,,,,,,,2013.7142857142858,2138.6666666666665,753.1578947368421,1218.1666666666667,998.6666666666666
19,,,,,,,,,1741.0,1318.0,,2784.3333333333335,2622.2,2566.5714285714284,1553.3333333333333,1534.6
20,,,,,,,,,,,1552.0,2595.5,2388.5,2203.25,1428.0,1489.0
21,,,,,,,,,,,,1859.0,2540.3333333333335,2901.625,1387.2857142857142,414.0
22,,,,,,,,,,,,2754.75,2409.2,2195.769230769231,1684.5,1664.8
23,,,,,,,,,,,,2665.0,2331.8333333333335,2281.0714285714284,1663.4285714285713,1638.5
24,,,,,,,,,,,,3264.5,3091.5,1065.8095238095239,1460.2,1424.142857142857
25,,,,,,,,,3615.0,1370.0,,3293.0,3026.3333333333335,3040.0,1669.4,1690.5
26,,,,,,,,,,,2361.0,3251.5,2714.4444444444443,3049.090909090909,1639.4285714285713,1970.4
27,3449.4444444444443,,,,,,,,,,,2949.875,2319.5,2767.3333333333335,2194.5,1468.6666666666667
28,,2015.888888888889,2095.6666666666665,,,,,,,,,4380.0,2364.0,3132.8,1878.6666666666667,1687.0
29,,,,,,,,,,,,4474.0,4119.333333333333,4045.6,1843.1666666666667,1781.3333333333333
30,,,,,,,,,,,,4907.333333333333,4814.5,4333.857142857143,2623.0,2730.0
31,,,,,,,,,3539.0,,,3774.6,3782.8,3338.1428571428573,2053.625,2050.25
32,,,,,,,,,,2247.0,1880.0,4142.5,3804.3333333333335,3968.2,2082.25,2268.0
33,,,,,,,,,,,,5298.0,4143.8,3783.0,2758.1111111111113,2394.0
34,,,,,,,,,,,,4823.625,3825.5,1577.9999999999998,2656.6666666666665,2043.5
35,,,,,,,,,,,,4190.0,5970.0,5167.5,2801.0,1735.142857142857
36,,,,,,,,,,,,5280.2,4924.666666666667,4736.444444444444,2709.3333333333335,2967.0
37,,,,,6764.034246575341,,,,,,,4519.666666666667,4259.0,789.9736842105264,2225.1666666666665,2467.6
38,,,,6608.196226415096,,,5251.632508833923,5363.732558139535,4255.0,,,4675.090909090909,4084.777777777778,3855.25,1739.5,2325.75
39,,,,,,,,,,3041.0,,5875.0,4865.5,3569.230769230769,2814.75,2991.0
40,,,,,,,,,,,3307.0,5916.1,4583.0,4409.666666666667,2476.75,2186.8333333333335
41,,,,,,,,,,,,5924.0,6581.0,5784.6,3328.3333333333335,2195.4
42,,,,,,,,,,,,5077.5,5038.181818181818,4504.777777777777,3344.5,2522.25
43,,,,,,,,,,,,6094.666666666667,5170.333333333333,3779.2,2906.75,2983.8333333333335
44,,,,,,,,,,,,6025.4,5302.333333333333,4927.857142857143,2547.0,2472.4
45,,,,,,,,,8020.0,,,5564.5,5648.714285714285,5113.2,2675.8333333333335,3207.777777777778
46,,,,,,,,,,,,7236.0,7391.5,1686.818181818182,4244.333333333333,4207.0
47,,,,,,,,,,2595.0,2366.0,6576.75,5648.8,5493.888888888889,2946.6,2843.5714285714284
48,,,,,,,,,,,,,7598.0,6250.75,3930.4285714285716,3352.0
49,,,,,,,,,,,,6896.25,6166.833333333333,5981.0,3443.0,3394.8
50,,,,,,,,,,,,6141.0,5851.0,5355.4,2946.625,3603.6666666666665
51,,,,,,,,,,,,7763.166666666667,7713.0,6043.857142857143,3703.6666666666665,3822.0
52,,,,,,,,,,,,7276.444444444444,6482.3,5499.5,3252.5,3359.8571428571427
53,,,,,,,,,,,,7049.333333333333,6645.0,6210.333333333333,3385.125,3278.9
54,,,,,,,,,,,,9143.5,8978.8,7635.75,4671.5,5222.0
55,,,,,,,,,,,,8989.57142857143,7708.125,2641.5438596491226,4401.5,4231.5
56,,,,,,,,,7866.0,4447.0,,8485.166666666666,6728.0,2091.1,3675.5,3372.5
57,,,,,,,,,,,4203.0,9286.666666666666,8798.25,7417.857142857143,5023.333333333333,4495.0
58,,,,,,,,,,,,7359.166666666667,7893.375,1626.4153846153843,3057.0,3934.625
59,,,,,,,,,,,,6947.333333333333,10568.2,4394.25,3430.75,
60,,,,,,,,,,,,,13476.0,12203.0,10442.0,9891.0
61,,,,,,,,,,,,12573.285714285714,11115.5,12242.333333333334,8410.0,11294.0
62,,,,,,,,,,,,7967.333333333333,7825.333333333333,6010.333333333333,4279.0,5383.0
63,,,,,,,,,,,,8063.4,7738.6,2543.075,4053.0,4613.333333333333
64,,,,,,,,,,,,62586.5,,1099.6896551724137,,
65,,,,,,,,,,,,65234.0,,95.33333333333333,,
66,,,,,,,,,,,,,,63064.0,,
67,,,,,,,,,,,,,,11923.166666666666,,
68,,,,,,,,,,,,69101.0,69497.5,,,
69,,,,,,,,,,,,,69862.66666666667,1826.0,,
70,,,,,,,,,,,,,74988.0,,,70268.0
71,,,,,,,,,,,,,,982.8961038961039,,
72,,,,,,,,,,,,,,72009.0,,
73,,,,,,,,,,,,,,73371.0,,
74,,,,,,,,,,,,,,1587.0,,74794.0
75,,,,,,,,,,,,,,1458.595744680851,77249.5,80707.0
76,,,,,,,,,,,,,,902.3333333333334,,82018.0
77,,,,,,,,,,,,74345.0,,1646.0,,
78,,,,,,,,,,,,,,1494.25,75365.0,
79,,,,,,,,,,,,81815.0,,1095.019230769231,85265.0,89064.0
80,,,,,,,,,,,,,,1668.0526315789473,,
81,,,,,,,,,,,,,,3866.0,95056.0,92979.5
82,,,,,,,,,,,,,,902.125,,
83,,,,,,,,,,,,,101895.0,52717.0,107412.5,
84,,,,,,,,,,,,,130084.0,1481.0,,
85,,,,,,,,,,,,,,45166.333333333336,,131029.0
88,,,,,,,,,,,,,,2678.740259740259,,
89,,,,,,,,,,,,,,11868.275,,
90,,,,,,,,,,,,,,9729.638297872345,,
91,,,,,,,,,,,,,,12713.178571428565,,
92,,,,,,,,,,,,,,74873.125,,
93,,,,,,,,,,,,,,73792.83333333333,,
94,,,,,,,,,,,,,,55278.125,,
95,,,,,,,,,,,,,,7738.537735849054,,
96,,,,,,,,,,,,,,9166.234042553191,,
97,,,,,,,,,,,,,,25610.846153846152,,
98,,,,,,,,,,,,,,236601.0,,
99,,,,,,,,,,,,,,3136.039215686274,,
100,,,,,,,,,,,,,,221322.0,,
101,,,,,,,,,,,,,,680.2908496732032,,
102,,,,,,,,,,,,,,643.8737864077672,,
103,,,,,,935.6485469949998,,,,,,,,565.963190184049,,
104,,,,,,,,,,,,,,764.7278259419801,,
